orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,orin_temp,orin_memory,server_115_memory,orin_disk_writes,server_115_disk_writes,orin_disk_reads,server_115_disk_reads,orin_network_sent,server_115_network_sent,orin_network_received,server_115_network_received,orin_power,orin_cpu,server_115_cpu
0,0,0,0,,0,261906440,78397440,1133661360,,11620171800,,1240384280,7384464.978612,0,1456.23598,7305276.4,,332989.88248,666214.644,0,907.8986,291086.144,,175149.808,0.3958921,8.1797736,9.0826946,79.223962,0.3762826,229.45459,,44.2966666666667,16807.43,1702.5798,-35167.18146,-58.4799996,2.8671455,0,-1131.31166,-2493.0292,2664.7968,1121.69852,15,77.6896429,21.6357296
0,0,0,0,,0,261906440,78397440,1133661360,,11620171800,,1240384280,7384464.978612,0,1456.23598,7305276.4,,332989.88248,666214.644,0,907.8986,291086.144,,175149.808,0.3958921,8.1797736,9.0826946,79.223962,0.3762826,229.45459,,44.2966666666667,16807.43,1702.5798,-35167.18146,-58.4799996,2.8671455,0,-1131.31166,-2493.0292,2664.7968,1121.69852,15,77.6896429,21.6357296
0,0,0,0,,0,261906440,78397440,1133661360,,11620171800,,1240384280,7384464.978612,0,1456.23598,7305276.4,,332989.88248,666214.644,0,907.8986,291086.144,,175149.808,0.3958921,8.1797736,9.0826946,79.223962,0.3762826,229.45459,,44.2966666666667,16807.43,1702.5798,-35167.18146,-58.4799996,2.8671455,0,-1131.31166,-2493.0292,2664.7968,1121.69852,15,77.6896429,21.6357296
0,0,0,0,,0,261906440,78397440,1133661360,,11620171800,,1240384280,7384464.978612,0,1456.23598,7305276.4,,332989.88248,666214.644,0,907.8986,291086.144,,175149.808,0.3958921,8.1797736,9.0826946,79.223962,0.3762826,229.45459,,44.2966666666667,16807.43,1702.5798,-35167.18146,-58.4799996,2.8671455,0,-1131.31166,-2493.0292,2664.7968,1121.69852,15,77.6896429,21.6357296
0,0,0,0,,0,261906440,78397440,1133661360,,11620171800,,1240384280,7384464.978612,0,1456.23598,7305276.4,,332989.88248,666214.644,0,907.8986,291086.144,,175149.808,0.3958921,8.1797736,9.0826946,79.223962,0.3762826,229.45459,,44.319,16807.43,1702.5798,-35167.18146,-58.4799996,2.8671455,0,-1131.31166,-2493.0292,2664.7968,1121.69852,15,77.6896429,21.6357296
0,0,0,0,,0,264887500,78397440,1133752300,,11623646000,,1240046800,8659805.297382,46.38384,1521.25506,8138758.8,,308440.88338,1071312.977994,46.374,873.50262,271902.456,,952498.41,0.3737567,3.7114045,9.6625202,77.272498,0.3188742,212.870708,,44.319,16814.036,1700.9278,-3372.468442,-30.4,3.865664,0,-8954.32324,-2163.0282,2389.1684,8252.45642,15,71.8938305,42.9595048
0,0,0,0,,0,264887500,78397440,1133752300,,11623646000,,1240046800,8659805.297382,46.38384,1521.25506,8138758.8,,308440.88338,1071312.977994,46.374,873.50262,271902.456,,952498.41,0.3737567,3.7114045,9.6625202,77.272498,0.3188742,212.870708,,44.319,16814.036,1700.9278,-3372.468442,-30.4,3.865664,0,-8954.32324,-2163.0282,2389.1684,8252.45642,15,71.8938305,42.9595048
0,0,0,0,,0,264887500,78397440,1133752300,,11623646000,,1240046800,8659805.297382,46.38384,1521.25506,8138758.8,,308440.88338,1071312.977994,46.374,873.50262,271902.456,,952498.41,0.3737567,3.7114045,9.6625202,77.272498,0.3188742,212.870708,,44.319,16814.036,1700.9278,-3372.468442,-30.4,3.865664,0,-8954.32324,-2163.0282,2389.1684,8252.45642,15,71.8938305,42.9595048
0,0,0,0,,0,264887500,78397440,1133752300,,11623646000,,1240046800,8659805.297382,46.38384,1521.25506,8138758.8,,308440.88338,1071312.977994,46.374,873.50262,271902.456,,952498.41,0.3737567,3.7114045,9.6625202,77.272498,0.3188742,212.870708,,44.319,16814.036,1700.9278,-3372.468442,-30.4,3.865664,0,-8954.32324,-2163.0282,2389.1684,8252.45642,15,71.8938305,42.9595048
0,0,0,0,,0,264887500,78397440,1133752300,,11623646000,,1240046800,8659805.297382,46.38384,1521.25506,8138758.8,,308440.88338,1071312.977994,46.374,873.50262,271902.456,,952498.41,0.3737567,3.7114045,9.6625202,77.272498,0.3188742,212.870708,,44.319,16814.036,1700.9278,-3372.468442,-30.4,3.865664,0,-8954.32324,-2163.0282,2389.1684,8252.45642,15,71.8938305,42.9595048
